PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL
85914,20031009,BBY,BEST BUY COMPANY INC,08651610,53.24000,5078100
85914,20031010,BBY,BEST BUY COMPANY INC,08651610,52.65000,2571100
85914,20031013,BBY,BEST BUY COMPANY INC,08651610,54.60000,3307900
85914,20031014,BBY,BEST BUY COMPANY INC,08651610,54.90000,2281000
85914,20031015,BBY,BEST BUY COMPANY INC,08651610,53.38000,3504000
85914,20031016,BBY,BEST BUY COMPANY INC,08651610,53.62000,3007900
85914,20031017,BBY,BEST BUY COMPANY INC,08651610,52.65000,4129100
85914,20031020,BBY,BEST BUY COMPANY INC,08651610,52.80000,2727200
85914,20031021,BBY,BEST BUY COMPANY INC,08651610,54.08000,4841200
85914,20031022,BBY,BEST BUY COMPANY INC,08651610,54.11000,3608300
85914,20031023,BBY,BEST BUY COMPANY INC,08651610,54.81000,3148400
85914,20031024,BBY,BEST BUY COMPANY INC,08651610,53.64000,4115900
85914,20031027,BBY,BEST BUY COMPANY INC,08651610,55.19000,3249900
85914,20031028,BBY,BEST BUY COMPANY INC,08651610,57.34000,4915200
85914,20031029,BBY,BEST BUY COMPANY INC,08651610,57.07000,2847700
85914,20031030,BBY,BEST BUY COMPANY INC,08651610,57.92000,4282500
85914,20031031,BBY,BEST BUY COMPANY INC,08651610,58.31000,2440400
85914,20031103,BBY,BEST BUY COMPANY INC,08651610,59.38000,3089379
85914,20031104,BBY,BEST BUY COMPANY INC,08651610,59.41000,1870538
85914,20031105,BBY,BEST BUY COMPANY INC,08651610,58.34000,3608900
85914,20031106,BBY,BEST BUY COMPANY INC,08651610,58.77000,2526900
85914,20031107,BBY,BEST BUY COMPANY INC,08651610,58.14000,2299000
85914,20031110,BBY,BEST BUY COMPANY INC,08651610,58.78000,3537200
85914,20031111,BBY,BEST BUY COMPANY INC,08651610,59.50000,3535100
85914,20031112,BBY,BEST BUY COMPANY INC,08651610,59.25000,3622600
85914,20031113,BBY,BEST BUY COMPANY INC,08651610,58.26000,5238500
85914,20031114,BBY,BEST BUY COMPANY INC,08651610,57.38000,3364900
85914,20031117,BBY,BEST BUY COMPANY INC,08651610,57.40000,4105000
85914,20031118,BBY,BEST BUY COMPANY INC,08651610,57.80000,3223400
85914,20031119,BBY,BEST BUY COMPANY INC,08651610,58.04000,3350300
85914,20031120,BBY,BEST BUY COMPANY INC,08651610,57.54000,2884600
85914,20031121,BBY,BEST BUY COMPANY INC,08651610,58.24000,2261200
85914,20031124,BBY,BEST BUY COMPANY INC,08651610,59.69000,3424500
85914,20031125,BBY,BEST BUY COMPANY INC,08651610,60.36000,3506800
85914,20031126,BBY,BEST BUY COMPANY INC,08651610,61.10000,3604600
85914,20031128,BBY,BEST BUY COMPANY INC,08651610,62.00000,1980700
85914,20031201,BBY,BEST BUY COMPANY INC,08651610,60.87000,6354400
85914,20031202,BBY,BEST BUY COMPANY INC,08651610,58.52000,7879600
85914,20031203,BBY,BEST BUY COMPANY INC,08651610,57.42000,6573000
85914,20031204,BBY,BEST BUY COMPANY INC,08651610,54.15000,17972200
85914,20031205,BBY,BEST BUY COMPANY INC,08651610,54.09000,5705800
85914,20031208,BBY,BEST BUY COMPANY INC,08651610,54.24000,4612500
85914,20031209,BBY,BEST BUY COMPANY INC,08651610,52.82000,4358500
85914,20031210,BBY,BEST BUY COMPANY INC,08651610,51.98000,4682500
85914,20031211,BBY,BEST BUY COMPANY INC,08651610,53.35000,4984400
85914,20031212,BBY,BEST BUY COMPANY INC,08651610,53.59000,3866100
85914,20031215,BBY,BEST BUY COMPANY INC,08651610,52.57000,5117400
85914,20031216,BBY,BEST BUY COMPANY INC,08651610,49.52000,11805600
85914,20031217,BBY,BEST BUY COMPANY INC,08651610,51.50000,14350500
85914,20031218,BBY,BEST BUY COMPANY INC,08651610,52.01000,5226800
85914,20031219,BBY,BEST BUY COMPANY INC,08651610,51.62000,3985100
85914,20031222,BBY,BEST BUY COMPANY INC,08651610,50.45000,5093600
85914,20031223,BBY,BEST BUY COMPANY INC,08651610,49.50000,6851900
85914,20031224,BBY,BEST BUY COMPANY INC,08651610,49.73000,1720400
85914,20031226,BBY,BEST BUY COMPANY INC,08651610,50.56000,2396200
85914,20031229,BBY,BEST BUY COMPANY INC,08651610,52.19000,4857400
85914,20031230,BBY,BEST BUY COMPANY INC,08651610,52.65000,3373700
85914,20031231,BBY,BEST BUY COMPANY INC,08651610,52.24000,2092000
85914,20040102,BBY,BEST BUY COMPANY INC,08651610,50.82000,3783300
