PERMNO,date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,BID,ASK,SHROUT,CFACPR
84415,20111130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,0.66900,0.80000,0.68990,14139,0.68000,0.68990,25052,0.25
84415,20111230,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,0.68000,2.99000,2.97000,32309,2.72000,2.97000,6311,1
84415,20120131,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.45000,3.02000,2.67000,1779,2.50000,2.67000,6311,1
84415,20120229,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.22000,2.64000,2.24000,1391,2.21000,2.25000,6311,1
84415,20120330,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.26000,2.13000,1.59000,8678,1.52000,1.58000,6462,1
84415,20120430,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.25000,1.84000,1.84000,8543,1.82000,1.83000,6462,1
84415,20120531,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.94000,2.24000,2.17000,5136,2.05000,2.16000,6462,1
84415,20120629,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,1.95000,2.60000,2.60000,4148,2.63000,2.70000,6462,1
84415,20120731,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.62000,3.52000,3.52000,5236,3.41000,3.53000,6664,1
84415,20120831,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.22000,3.60000,3.25000,3388,3.20000,3.23000,6664,1
84415,20120928,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,2.76000,3.97000,3.94000,4724,3.92000,3.94000,6664,1
84415,20121031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.53000,3.87000,3.74000,2613,3.67000,3.74000,6664,1
84415,20121130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.75000,3.97000,3.95000,1957,3.89000,3.94000,6664,1
84415,20121231,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.90000,4.29000,4.29000,3014,4.24000,4.28000,10629,1
84415,20130131,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.95000,4.31000,4.23000,1401,4.13000,4.23000,10629,1
84415,20130228,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.00000,4.58000,4.49000,851,4.36000,4.49000,10629,1
84415,20130328,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.11000,4.48000,4.34000,1923,4.11000,4.35000,10629,1
84415,20130430,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.46000,4.27000,3.57000,4467,3.58000,3.69000,10678,1
84415,20130531,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.69010,4.24000,4.01000,1394,3.95000,4.00000,10678,1
84415,20130628,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.93250,4.07000,4.07000,676,4.06000,4.08000,10678,1
84415,20130731,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,-4.07500,4.24000,4.22000,552,4.08000,4.22000,10678,1
84415,20130830,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.23000,4.70100,4.41000,548,4.40000,4.50000,10678,1
84415,20130930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.21000,4.50000,4.36000,1007,4.36000,4.47000,10766,1
84415,20131031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.05000,4.39000,4.30000,1242,4.29000,4.30000,10766,1
84415,20131129,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.97000,4.70000,4.70000,559,4.50000,4.70000,10766,1
84415,20131231,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.29000,4.79500,4.60000,928,4.47000,4.60000,11404,1
84415,20140131,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.21000,4.60000,4.21000,459,4.21000,4.29000,11404,1
84415,20140228,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.20000,4.54000,4.50000,243,4.35000,4.50000,11404,1
84415,20140331,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.25000,4.50000,4.35000,296,4.26000,4.35000,11468,1
84415,20140430,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.19000,4.48000,4.35000,186,4.15000,4.35000,11468,1
84415,20140530,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.10000,4.30000,-4.10000,260,4.05000,4.15000,11468,1
84415,20140630,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.00010,4.16000,4.16000,1011,4.11000,4.16000,11506,1
